Carter ;N_Reads;Conteville;N_reads;Obregon;N_Reads;Rampelli;N_Reads;Tee;N_Reads
ERR7738143;84113862;SRR8732217;17600498;SRR1761676;39508086;ERR11604928;20169162;RR17643452;17565834
ERR7738158;90637290;SRR8732218;417638;SRR1761677;48897764;ERR11604929;14295218;SRR17643456;23354536
ERR7738166;96550332;SRR8732219;10031756;SRR1761678;50293364;ERR11604930;16470238;SRR17643458;17146342
ERR7738182;99578548;SRR8732220;17648258;SRR1761679;45354140;ERR11604931;12616082;SRR17643459;21386018
ERR7738185;93653652;SRR8732221;11231270;SRR1761680;45983996;ERR11604932;16002750;SRR17643460;20086500
ERR7738196;100879592;SRR8732222;5828390;SRR1761681;35133934;ERR11604933;21494026;SRR17643462;17890178
ERR7738215;95997628;SRR8732223;8871302;SRR1761682;39760864;ERR11604934;17430138;SRR17643466;20410680
ERR7738229;124032806;SRR8732224;2661134;SRR1761683;34376090;ERR11604935;17511712;SRR17643467;30255200
ERR7738234;0;SRR8732225;25659824;SRR1761684;43971774;ERR11604936;13226790;SRR17643474;28745672
ERR7738253;110592398;SRR8732226;2405214;SRR1761685;46525996;ERR11604937;14373736;SRR17643478;17077082
ERR7738267;127471840;SRR8732227;9837422;SRR1761686;45864290;ERR11604938;16520930;SRR17643479;18324144
ERR7738276;162825588;SRR8732228;603402;SRR1761687;41997462;ERR11604939;13123430;SRR17643482;24458952
ERR7738277;180635546;SRR8732229;1642692;SRR1761688;43276208;ERR11604940;17916000;SRR17643504;21255710
ERR7738353;169746546;SRR8732230;11750630;SRR1761689;38259954;ERR11604941;17036908;SRR17643506;18123754
ERR7738433;0;SRR8732231;14066870;SRR1761690;51923246;ERR11604942;15071428;SRR17643507;18979982
ERR7738514;205797640;;Mean;SRR1761691;40232690;ERR11604943;16167536;SRR17643508;16795820
ERR7738515;194299656;;9350420;SRR1761692;45389368;ERR11604944;13502406;SRR17643518;17926814
ERR7738537;175163630;;9 Millions ;SRR1761693;42521940;ERR11604945;14402692;SRR17643520;18870530
ERR7738545;203150038;;;SRR1761694;43365320;ERR11604946;13820090;SRR17643521;17364710
ERR7738546;197922476;;Median;SRR1761695;34329854;ERR11604947;11927402;SRR17643523;13861668
ERR7738547;213738104;;9837422;SRR1761696;45481238;ERR11604948;16070430;SRR17643531;19253614
ERR7738549;216012586;;10 millions;SRR1761697;49833872;ERR11604949;14452198;SRR17643652;23811800
ERR7738553;213803142;;;SRR1761698;67890094;ERR11604950;7710512;SRR17643657;23062464
ERR7738558;215487798;;;SRR1761699;84787990;ERR11604951;11304296;SRR17643662;16744108
ERR7738562;220404122;;;SRR1761700;42718508;ERR11604952;17555564;SRR17643790;15113216
ERR7738578;237000210;;;SRR1761701;41061124;ERR11604953;17856320;SRR17643792;20340084
ERR7738580;215006154;;;SRR1761702;61694600;;Mean;SRR17643794;19390962
ERR7738594;183043428;;;SRR1761703;59843040;;15308769;SRR17643804;24988628
ERR7738597;221650534;;;SRR1761704;56266162;;15 millions;SRR17643809;20672504
ERR7738604;197172306;;;SRR1761705;55770906;;;SRR17643913;25982926
ERR7738608;210568276;;;SRR1761706;61148536;; Median;SRR17643916;19316536
ERR7738611;231869824;;;SRR1761707;58685624;;15537089;SRR17643919;21554286
ERR7738612;206115186;;;SRR1761708;51472210;;15 millions;SRR17643922;17926478
ERR7738616;222950336;;;SRR1761709;55709924;;;SRR17643924;17550178
ERR7738620;240331236;;;SRR1761710;52363218;;;SRR17643927;15406694
ERR7738622;221728930;;;SRR1761711;57257732;;;SRR17643933;14647456
ERR7738624;276828348;;;SRR1761712;64709158;;;SRR17643938;29184934
ERR7738629;228702894;;;SRR1761713;53101066;;;SRR17643958;21013262
ERR7738630;221240894;;;SRR1761714;50414294;;;SRR17643968;20762132
ERR7738633;254564342;;;SRR1761715;51346180;;;SRR17643989;14341614
ERR7738665;20545508;;;SRR1761716;62510780;;;SRR17644085;20615286
ERR7738937;357972730;;;SRR1761717;60252158;;;;Mean
ERR7738938;387854044;;;SRR1761718;57350580;;;;20038031,41
ERR7745402;90773642;;;SRR1761719;52879270;;;;20 millions
ERR7745596;124758194;;;SRR1761720;56143972;;;;
ERR7745787;185841262;;;SRR1761721;55985762;;;;Median 
ERR7745819;202130236;;;;Mean;;;;19316536
ERR7745831;180061124;;;;50514007,35;;;;19 millions
ERR7745836;192438358;;;;50 millions;;;;
ERR7746398;205717194;;;;;;;;
ERR7746440;83346492;;;;Median;;;;
ERR7747782;275029356;;;;50353829;;;;
;Mean;;;;50 millions;;;;
;178225689,6;;;;;;;;
;178 millions ;;;;;;;;
;;;;;;;;;
;Median;;;;;;;;
;197547391;;;;;;;;
;197 millions;;;;;;;;