sample_id;N_reads_clean
ERR7738143;84113862
ERR7738158;90637290
ERR7738166;96550332
ERR7738182;99578548
ERR7738185;93653652
ERR7738196;100879592
ERR7738215;95997628
ERR7738229;124032806
ERR7738234;0
ERR7738253;110592398
ERR7738267;127471840
ERR7738276;162825588
ERR7738277;180635546
ERR7738353;169746546
ERR7738433;0
ERR7738514;205797640
ERR7738515;194299656
ERR7738537;175163630
ERR7738545;203150038
ERR7738546;197922476
ERR7738547;213738104
ERR7738549;216012586
ERR7738553;213803142
ERR7738558;215487798
ERR7738562;220404122
ERR7738578;237000210
ERR7738580;215006154
ERR7738594;183043428
ERR7738597;221650534
ERR7738604;197172306
ERR7738608;210568276
ERR7738611;231869824
ERR7738612;206115186
ERR7738616;222950336
ERR7738620;240331236
ERR7738622;221728930
ERR7738624;276828348
ERR7738629;228702894
ERR7738630;221240894
ERR7738633;254564342
ERR7738665;20545508
ERR7738937;357972730
ERR7738938;387854044
ERR7745402;90773642
ERR7745596;124758194
ERR7745787;185841262
ERR7745819;202130236
ERR7745831;180061124
ERR7745836;192438358
ERR7746398;205717194
ERR7746440;83346492
ERR7747782;275029356
SRR8732217;17600498
SRR8732218;417638
SRR8732219;10031756
SRR8732220;17648258
SRR8732221;11231270
SRR8732222;5828390
SRR8732223;8871302
SRR8732224;2661134
SRR8732225;25659824
SRR8732226;2405214
SRR8732227;9837422
SRR8732228;603402
SRR8732229;1642692
SRR8732230;11750630
SRR8732231;14066870
SRR1761676;39508086
SRR1761677;48897764
SRR1761678;50293364
SRR1761679;45354140
SRR1761680;45983996
SRR1761681;35133934
SRR1761682;39760864
SRR1761683;34376090
SRR1761684;43971774
SRR1761685;46525996
SRR1761686;45864290
SRR1761687;41997462
SRR1761688;43276208
SRR1761689;38259954
SRR1761690;51923246
SRR1761691;40232690
SRR1761692;45389368
SRR1761693;42521940
SRR1761694;43365320
SRR1761695;34329854
SRR1761696;45481238
SRR1761697;49833872
SRR1761698;67890094
SRR1761699;84787990
SRR1761700;42718508
SRR1761701;41061124
SRR1761702;61694600
SRR1761703;59843040
SRR1761704;56266162
SRR1761705;55770906
SRR1761706;61148536
SRR1761707;58685624
SRR1761708;51472210
SRR1761709;55709924
SRR1761710;52363218
SRR1761711;57257732
SRR1761712;64709158
SRR1761713;53101066
SRR1761714;50414294
SRR1761715;51346180
SRR1761716;62510780
SRR1761717;60252158
SRR1761718;57350580
SRR1761719;52879270
SRR1761720;56143972
SRR1761721;55985762
ERR11604928;20169162
ERR11604929;14295218
ERR11604930;16470238
ERR11604931;12616082
ERR11604932;16002750
ERR11604933;21494026
ERR11604934;17430138
ERR11604935;17511712
ERR11604936;13226790
ERR11604937;14373736
ERR11604938;16520930
ERR11604939;13123430
ERR11604940;17916000
ERR11604941;17036908
ERR11604942;15071428
ERR11604943;16167536
ERR11604944;13502406
ERR11604945;14402692
ERR11604946;13820090
ERR11604947;11927402
ERR11604948;16070430
ERR11604949;14452198
ERR11604950;7710512
ERR11604951;11304296
ERR11604952;17555564
ERR11604953;17856320
SRR17643452;17565834
SRR17643456;23354536
SRR17643458;17146342
SRR17643459;21386018
SRR17643460;20086500
SRR17643462;17890178
SRR17643466;20410680
SRR17643467;30255200
SRR17643474;28745672
SRR17643478;17077082
SRR17643479;18324144
SRR17643482;24458952
SRR17643504;21255710
SRR17643506;18123754
SRR17643507;18979982
SRR17643508;16795820
SRR17643518;17926814
SRR17643520;18870530
SRR17643521;17364710
SRR17643523;13861668
SRR17643531;19253614
SRR17643652;23811800
SRR17643657;23062464
SRR17643662;16744108
SRR17643790;15113216
SRR17643792;20340084
SRR17643794;19390962
SRR17643804;24988628
SRR17643809;20672504
SRR17643913;25982926
SRR17643916;19316536
SRR17643919;21554286
SRR17643922;17926478
SRR17643924;17550178
SRR17643927;15406694
SRR17643933;14647456
SRR17643938;29184934
SRR17643958;21013262
SRR17643968;20762132
SRR17643989;14341614
SRR17644085;20615286